steps,grad_similarity
271,0.306716174
272,-0.080230467
273,-0.015058073
274,0.205492377
275,0.110717222
276,0.016892634
277,-0.228293121
278,0.013966706
279,-0.14040418
280,-0.095840171
281,-0.13025412
282,-0.231673613
283,0.002400636
284,0.085892342
285,-0.020744728
286,0.140583873
287,-0.066966057
288,0.039871339
289,-0.248787105
290,0.120668828
291,-0.028409669
292,-0.036162194
293,0.162400767
294,-0.22645022
295,-0.158898309
296,-0.087583296
297,0.163399592
298,0.083486557
299,0.054861341
300,0.126126304
301,0.193549603
302,0.111636445
303,-0.025507385
304,0.105843909
305,-0.094279245
306,0.016432926
307,-0.061959621
308,0.035566904
309,-0.098738179
310,-0.187958911
311,-0.161316127
312,0.029950732
313,-0.167495161
314,-0.055503782
315,0.09126503
316,-0.001111329
317,-0.101162754
318,0.100983143
319,-0.059353769
320,0.017780092
321,0.02636105
322,-0.073065661
323,-0.107120872
324,-0.063949458
325,-0.046749603
326,-0.053998526
327,0.3565211
328,0.01974682
329,-0.157778949
330,-0.080932468
331,-0.033549324
332,0.189694494
333,0.029341541
334,0.068269767
335,0.195828035
336,0.150829554
337,0.153955847
338,0.212281331
339,0.046229135
340,0.154516339
341,0.139973
342,-0.010860797
343,0.098982722
344,0.012894398
345,0.007384415
346,0.086703584
347,-0.011062757
348,0.138652146
349,0.012702649
350,0.070226811
351,-0.042929847
352,0.030025527
353,-0.049859703
354,0.180868194
355,-0.050187945
356,0.027518123
357,-0.044915408
358,-0.064032793
359,-0.030155493
360,0.125341177
361,-0.029940914
362,0.018749643
363,0.46217683
364,0.068091184
365,0.067296073
366,0.033730391
367,0.125384361
368,0.205570042
369,-0.003482953
370,0.094882801
371,0.502891362
372,-0.083713457
373,0.139340252
374,0.027409533
375,0.023607831
376,0.163862258
377,0.123163596
378,0.060456794
379,-0.13937749
380,0.018181164
381,0.139173225
382,0.351773858
383,0.345472544
384,-0.032857846
385,0.070073627
386,0.131262243
387,0.031363174
388,0.00764259
389,0.063628763
390,0.251715988
391,-0.045023017
392,-4.04E-05
393,-0.11787872
394,-0.017014766
395,0.01436451
396,0.044694852
397,0.029837744
398,-0.048068725
399,0.041712224
400,-0.019027539
401,0.013250011
402,-0.164508313
403,-0.086678721
404,-0.062883973
405,0.117131472
406,0.040376946
407,0.001502431
408,-0.034444787
409,-0.018818362
410,-0.104473256
411,-0.10800714
412,-3.48E-05
413,-0.134853631
414,-0.010164274
415,-0.237007126
416,-0.009526724
417,-0.106954284
418,-0.156514943
419,-0.155061558
420,0.43645218
421,0.117391564
422,0.055995654
423,0.170599997
424,0.088132143
425,-0.110876128
426,0.080414496
427,-0.022470279
428,0.005285192
429,-0.036565207
430,0.004297506
431,0.069615953
432,-0.103416979
433,0.104466729
434,0.021796346
435,0.002326614
436,0.008871162
437,-0.004524041
438,-0.076679863
439,0.021820379
440,-0.030048264
441,0.22683312
442,0.121252835
443,-0.023086211
444,0.016679378
445,-0.053042214
446,0.051833104
447,0.002181808
