steps,grad_similarity
1085,-0.097865805
1086,-0.273233891
1087,-0.352126569
1088,-0.444021255
1089,0.478019804
1090,0.622160077
1091,0.501629353
1092,0.498408496
1093,0.332634509
1094,0.335987419
1095,0.156625628
1096,0.402215302
1097,0.263487905
1098,0.074118011
1099,-0.421846032
1100,-0.235000387
1101,0.004131913
1102,0.102237657
1103,-0.482350856
1104,-0.149487048
1105,0.049777061
1106,0.245625973
1107,0.485075951
1108,0.17986083
1109,-0.172764465
1110,0.087879665
1111,0.205727488
1112,0.383986771
1113,0.450212628
1114,-0.097322479
1115,-0.427226245
1116,-0.079124741
1117,0.333979398
1118,0.394671202
1119,-0.525860071
1120,0.099002123
1121,0.617513776
1122,0.483230859
1123,-0.320238233
1124,-0.552089453
1125,-0.500500917
1126,0.614617884
1127,0.266701639
1128,0.391738683
1129,-0.477546632
1130,0.23433581
1131,-0.05311507
1132,0.287306905
1133,-0.254363686
1134,0.480935693
1135,-0.54061687
1136,-0.256314784
1137,0.088552341
1138,0.34148246
1139,0.200715527
1140,0.193689182
1141,-0.37997663
1142,-0.634842753
1143,0.441337526
1144,0.383309811
1145,0.634966493
1146,0.361063451
1147,-0.691211939
1148,-0.240206659
1149,0.041796505
1150,0.601636827
1151,0.441848278
1152,-0.089467354
1153,0.043567955
1154,-0.029812645
1155,0.375324756
1156,-0.595802188
1157,-0.634945333
1158,-0.52440834
1159,0.060795791
1160,-0.197637349
1161,0.608257174
1162,-0.403536707
1163,0.398819327
1164,0.14840129
1165,-0.305471122
1166,-0.13642323
1167,0.468894392
1168,0.141216442
1169,-0.303794026
1170,0.087158546
1171,0.671501637
1172,0.745500326
1173,-0.302262932
1174,0.065569714
1175,-0.260075033
1176,-0.270704418
1177,0.305294603
1178,-0.086207762
1179,0.409957379
1180,-0.502418876
1181,-0.355791569
1182,-0.607278943
1183,0.664835572
1184,0.756826878
1185,0.467681736
1186,-0.196971744
1187,0.55785358
1188,-0.470459759
1189,0.388743341
1190,0.317458063
